Column1;name;path;preset1;preset2;preset3;preset4;preset5;preset6;preset7;preset8;preset9;preset10;preset11;preset12;preset13;preset15;preset16;value
;1_YPOC_250_GLP_1:Pancoarse;/lighting/fixtures/1_YPOC_250_GLP_1;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.0;0.5;0.5;0.5;0.5;0.5
;1_YPOC_250_GLP_1:Tiltcoarse;/lighting/fixtures/1_YPOC_250_GLP_1;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.4860000014305115;0.5;0.5;0.5;0.5;0.5
;1_YPOC_250_GLP_1:Color1;/lighting/fixtures/1_YPOC_250_GLP_1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.328000009059906;0.0;0.0;0.0;0.0;0.0
;1_YPOC_250_GLP_1:Gobo1;/lighting/fixtures/1_YPOC_250_GLP_1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;1_YPOC_250_GLP_1:Gobo1ind;/lighting/fixtures/1_YPOC_250_GLP_1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;1_YPOC_250_GLP_1:Prism1;/lighting/fixtures/1_YPOC_250_GLP_1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;1_YPOC_250_GLP_1:Strobe;/lighting/fixtures/1_YPOC_250_GLP_1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
Dimmer1;1_YPOC_250_GLP_1:Intensity;/lighting/fixtures/1_YPOC_250_GLP_1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8579999804496765;0.0;0.0;0.0;0.0;0.0
;1_YPOC_250_GLP_1:Focus;/lighting/fixtures/1_YPOC_250_GLP_1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;1_YPOC_250_GLP_1:Control;/lighting/fixtures/1_YPOC_250_GLP_1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;1_YPOC_250_GLP_1:Move;/lighting/fixtures/1_YPOC_250_GLP_1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;1_YPOC_250_GLP_1:Ptfade;/lighting/fixtures/1_YPOC_250_GLP_1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;1_YPOC_250_GLP_1:Laser;/lighting/fixtures/1_YPOC_250_GLP_1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;1_YPOC_250_GLP_2:Pancoarse;/lighting/fixtures/1_YPOC_250_GLP_2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.49399998784065247;0.0;0.0;0.0;0.0;0.0
;1_YPOC_250_GLP_2:Tiltcoarse;/lighting/fixtures/1_YPOC_250_GLP_2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4860000014305115;0.0;0.0;0.0;0.0;0.0
;1_YPOC_250_GLP_2:Color1;/lighting/fixtures/1_YPOC_250_GLP_2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.328000009059906;0.0;0.0;0.0;0.0;0.0
;1_YPOC_250_GLP_2:Gobo1;/lighting/fixtures/1_YPOC_250_GLP_2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;1_YPOC_250_GLP_2:Gobo1ind;/lighting/fixtures/1_YPOC_250_GLP_2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
